x,y
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,0
16,0
16.5,0
17,0
17.5,0
1.75E+01,0
17.99974983,-0.013695203
18.49799958,-0.054739703
18.99325363,-0.123010298
19.48402541,-0.218302061
19.96884176,-0.340328955
20.44624741,-0.488724693
20.91480935,-0.663043838
21.3731211,-0.862763138
21.81980694,-1.087283099
22.25352607,-1.33592978
22.6729766,-1.607956823
23.07689946,-1.902547687
23.46408221,-2.218818101
23.83336264,-2.555818721
24.18363229,-2.912537976
24.51383976,-3.287905106
24.82299387,-3.680793375
25.11016663,-4.090023456
25.37449605,-4.514366967
25.61518868,-4.952550162
25.83152205,-5.40325775
26.02284678,-5.865136849
26.18858858,-6.336801042
26.32824995,-6.816834538
26.44141166,-7.303796428
26.52773405,-7.796225003
26.58695798,-8.292642147
26.61890571,-8.79155777
26.62348132,-9.291474282
26.60067108,-9.79089109
26.55054346,-10.2883091
26.47324893,-10.78223522
26.36901951,-11.27118684
26.23816805,-11.75369627
26.08108734,-12.22831517
25.89824888,-12.69361889
25.69020149,-13.14821073
25.45756967,-13.59072614
25.2010517,-14.01983684
24.92141758,-14.43425476
24.61950667,-14.83273595
24.29622523,-15.2140843
23.95254363,-15.57715512
23.58949351,-15.92085857
23.20816463,-16.24416298
22.80970162,-16.54609788
22.39530054,-16.82575695
21.96620529,-17.08230076
21.52370388,-17.31495922
21.06912457,-17.52303398
20.60383186,-17.70590046
20.12922242,-17.86300976
19.64672087,-17.99389026
19.15777553,-18.09814913
18.66385406,-18.1754734
18.16643907,-18.22563097
17.66702364,-18.24847127
17.16710685,-18.24392577
16.6681893,-18.21200809
16.17176859,-18.15281404
15.67933482,-18.06652131
15.19236612,-17.95338892
14.71232421,-17.81375645
14.24065004,-17.64804305
13.77875943,-17.45674613
13.32803881,-17.2404399
12.88984112,-16.99977366
12.4654817,-16.73546979
12.05623433,-16.44832167
11.66332744,-16.13919122
11.28794043,-15.80900635
10.93120009,-15.45875818
10.59417723,-15.08949804
10.2778835,-14.70233434
9.983268318,-14.29842921
9.71121602,-13.87899507
9.462543223,-13.44529091
9.237996367,-12.99861859
9.03824947,-12.54031887
8.863902112,-12.07176743
8.715477627,-11.59437071
8.593421542,-11.10956171
8.498100228,-10.61879567
8.429799813,-10.12354572
8.388725311,-9.625298455
8.375000017,-9.125549446
8.388665128,-8.625798788
8.429679627,-8.127546576
8.497920401,-7.632288409
8.593182612,-7.141510897
8.715180313,-6.656687201
8.863547305,-6.17927261
9.037838237,-5.710700176
9.23752994,-5.252376405
9.462023004,-4.805677043
9.710643569,-4.371942942
9.982645355,-3.952476038
10.2772119,-3.548535438
10.593459,-3.161333647
10.93043738,-2.792032924
11.28713554,-2.441741794
11.66248279,-2.111511722
12.05535244,-1.802333956
12.46456523,-1.515136552
12.88889283,-1.250781586
13.32706153,-1.010062569
13.77775609,-0.793702066
14.23962367,-0.602349522
14.71127788,-0.436579319
15.19130296,-0.296889047
15.67825804,-0.183698013
16.17068142,-0.09734598
16.66709499,-0.038092151
17.16600869,-0.006114388
17.5,0
1.75E+01,0
17.99974983,-0.013695203
18.49799958,-0.054739703
18.99325363,-0.123010298
19.48402541,-0.218302061
19.96884176,-0.340328955
20.44624741,-0.488724693
20.91480935,-0.663043838
21.3731211,-0.862763138
21.81980694,-1.087283099
22.25352607,-1.33592978
22.6729766,-1.607956823
23.07689946,-1.902547687
23.46408221,-2.218818101
23.83336264,-2.555818721
24.18363229,-2.912537976
24.51383976,-3.287905106
24.82299387,-3.680793375
25.11016663,-4.090023456
25.37449605,-4.514366967
25.61518868,-4.952550162
25.83152205,-5.40325775
26.02284678,-5.865136849
26.18858858,-6.336801042
26.32824995,-6.816834538
26.44141166,-7.303796428
26.52773405,-7.796225003
26.58695798,-8.292642147
26.61890571,-8.79155777
26.62348132,-9.291474282
26.60067108,-9.79089109
26.55054346,-10.2883091
26.47324893,-10.78223522
26.36901951,-11.27118684
26.23816805,-11.75369627
26.08108734,-12.22831517
25.89824888,-12.69361889
25.69020149,-13.14821073
25.45756967,-13.59072614
25.2010517,-14.01983684
24.92141758,-14.43425476
24.61950667,-14.83273595
24.29622523,-15.2140843
23.95254363,-15.57715512
23.58949351,-15.92085857
23.20816463,-16.24416298
22.80970162,-16.54609788
22.39530054,-16.82575695
21.96620529,-17.08230076
21.52370388,-17.31495922
21.06912457,-17.52303398
20.60383186,-17.70590046
20.12922242,-17.86300976
19.64672087,-17.99389026
19.15777553,-18.09814913
18.66385406,-18.1754734
18.16643907,-18.22563097
17.66702364,-18.24847127
17.16710685,-18.24392577
16.6681893,-18.21200809
16.17176859,-18.15281404
15.67933482,-18.06652131
15.19236612,-17.95338892
14.71232421,-17.81375645
14.24065004,-17.64804305
13.77875943,-17.45674613
13.32803881,-17.2404399
12.88984112,-16.99977366
12.4654817,-16.73546979
12.05623433,-16.44832167
11.66332744,-16.13919122
11.28794043,-15.80900635
10.93120009,-15.45875818
10.59417723,-15.08949804
10.2778835,-14.70233434
9.983268318,-14.29842921
9.71121602,-13.87899507
9.462543223,-13.44529091
9.237996367,-12.99861859
9.03824947,-12.54031887
8.863902112,-12.07176743
8.715477627,-11.59437071
8.593421542,-11.10956171
8.498100228,-10.61879567
8.429799813,-10.12354572
8.388725311,-9.625298455
8.375000017,-9.125549446
8.388665128,-8.625798788
8.429679627,-8.127546576
8.497920401,-7.632288409
8.593182612,-7.141510897
8.715180313,-6.656687201
8.863547305,-6.17927261
9.037838237,-5.710700176
9.23752994,-5.252376405
9.462023004,-4.805677043
9.710643569,-4.371942942
9.982645355,-3.952476038
10.2772119,-3.548535438
10.593459,-3.161333647
10.93043738,-2.792032924
11.28713554,-2.441741794
11.66248279,-2.111511722
12.05535244,-1.802333956
12.46456523,-1.515136552
12.88889283,-1.250781586
13.32706153,-1.010062569
13.77775609,-0.793702066
14.23962367,-0.602349522
14.71127788,-0.436579319
15.19130296,-0.296889047
15.67825804,-0.183698013
16.17068142,-0.09734598
16.66709499,-0.038092151
17.16600869,-0.006114388
17.5,0
17.99974983,0.013695203
18.49799958,0.054739703
18.99325363,0.123010298
19.48402541,0.218302061
19.96884176,0.340328955
20.44624741,0.488724693
20.91480935,0.663043838
21.3731211,0.862763138
21.81980694,1.087283099
22.25352607,1.33592978
22.6729766,1.607956823
23.07689946,1.902547687
23.46408221,2.218818101
23.83336264,2.555818721
24.18363229,2.912537976
24.51383976,3.287905106
24.82299387,3.680793375
25.11016663,4.090023456
25.37449605,4.514366967
25.61518868,4.952550162
25.83152205,5.40325775
26.02284678,5.865136849
26.18858858,6.336801042
26.32824995,6.816834538
26.44141166,7.303796428
26.52773405,7.796225003
26.58695798,8.292642147
26.61890571,8.79155777
26.62348132,9.291474282
26.60067108,9.79089109
26.55054346,10.2883091
26.47324893,10.78223522
26.36901951,11.27118684
26.23816805,11.75369627
26.08108734,12.22831517
25.89824888,12.69361889
25.69020149,13.14821073
25.45756967,13.59072614
25.2010517,14.01983684
24.92141758,14.43425476
24.61950667,14.83273595
24.29622523,15.2140843
23.95254363,15.57715512
23.58949351,15.92085857
23.20816463,16.24416298
22.80970162,16.54609788
22.39530054,16.82575695
21.96620529,17.08230076
21.52370388,17.31495922
21.06912457,17.52303398
20.60383186,17.70590046
20.12922242,17.86300976
19.64672087,17.99389026
19.15777553,18.09814913
18.66385406,18.1754734
18.16643907,18.22563097
17.66702364,18.24847127
17.16710685,18.24392577
16.6681893,18.21200809
16.17176859,18.15281404
15.67933482,18.06652131
15.19236612,17.95338892
14.71232421,17.81375645
14.24065004,17.64804305
13.77875943,17.45674613
13.32803881,17.2404399
12.88984112,16.99977366
12.4654817,16.73546979
12.05623433,16.44832167
11.66332744,16.13919122
11.28794043,15.80900635
10.93120009,15.45875818
10.59417723,15.08949804
10.2778835,14.70233434
9.983268318,14.29842921
9.71121602,13.87899507
9.462543223,13.44529091
9.237996367,12.99861859
9.03824947,12.54031887
8.863902112,12.07176743
8.715477627,11.59437071
8.593421542,11.10956171
8.498100228,10.61879567
8.429799813,10.12354572
8.388725311,9.625298455
8.375000017,9.125549446
8.388665128,8.625798788
8.429679627,8.127546576
8.497920401,7.632288409
8.593182612,7.141510897
8.715180313,6.656687201
8.863547305,6.17927261
9.037838237,5.710700176
9.23752994,5.252376405
9.462023004,4.805677043
9.710643569,4.371942942
9.982645355,3.952476038
10.2772119,3.548535438
10.593459,3.161333647
10.93043738,2.792032924
11.28713554,2.441741794
11.66248279,2.111511722
12.05535244,1.802333956
12.46456523,1.515136552
12.88889283,1.250781586
13.32706153,1.010062569
13.77775609,0.793702066
14.23962367,0.602349522
14.71127788,0.436579319
15.19130296,0.296889047
15.67825804,0.183698013
16.17068142,0.09734598
16.66709499,0.038092151
17.16600869,0.006114388
17.5,0
17.99974983,0.013695203
18.49799958,0.054739703
18.99325363,0.123010298
19.48402541,0.218302061
19.96884176,0.340328955
20.44624741,0.488724693
20.91480935,0.663043838
21.3731211,0.862763138
21.81980694,1.087283099
22.25352607,1.33592978
22.6729766,1.607956823
23.07689946,1.902547687
23.46408221,2.218818101
23.83336264,2.555818721
24.18363229,2.912537976
24.51383976,3.287905106
24.82299387,3.680793375
25.11016663,4.090023456
25.37449605,4.514366967
25.61518868,4.952550162
25.83152205,5.40325775
26.02284678,5.865136849
26.18858858,6.336801042
26.32824995,6.816834538
26.44141166,7.303796428
26.52773405,7.796225003
26.58695798,8.292642147
26.61890571,8.79155777
26.62348132,9.291474282
26.60067108,9.79089109
26.55054346,10.2883091
26.47324893,10.78223522
26.36901951,11.27118684
26.23816805,11.75369627
26.08108734,12.22831517
25.89824888,12.69361889
25.69020149,13.14821073
25.45756967,13.59072614
25.2010517,14.01983684
24.92141758,14.43425476
24.61950667,14.83273595
24.29622523,15.2140843
23.95254363,15.57715512
23.58949351,15.92085857
23.20816463,16.24416298
22.80970162,16.54609788
22.39530054,16.82575695
21.96620529,17.08230076
21.52370388,17.31495922
21.06912457,17.52303398
20.60383186,17.70590046
20.12922242,17.86300976
19.64672087,17.99389026
19.15777553,18.09814913
18.66385406,18.1754734
18.16643907,18.22563097
17.66702364,18.24847127
17.16710685,18.24392577
16.6681893,18.21200809
16.17176859,18.15281404
15.67933482,18.06652131
15.19236612,17.95338892
14.71232421,17.81375645
14.24065004,17.64804305
13.77875943,17.45674613
13.32803881,17.2404399
12.88984112,16.99977366
12.4654817,16.73546979
12.05623433,16.44832167
11.66332744,16.13919122
11.28794043,15.80900635
10.93120009,15.45875818
10.59417723,15.08949804
10.2778835,14.70233434
9.983268318,14.29842921
9.71121602,13.87899507
9.462543223,13.44529091
9.237996367,12.99861859
9.03824947,12.54031887
8.863902112,12.07176743
8.715477627,11.59437071
8.593421542,11.10956171
8.498100228,10.61879567
8.429799813,10.12354572
8.388725311,9.625298455
8.375000017,9.125549446
8.388665128,8.625798788
8.429679627,8.127546576
8.497920401,7.632288409
8.593182612,7.141510897
8.715180313,6.656687201
8.863547305,6.17927261
9.037838237,5.710700176
9.23752994,5.252376405
9.462023004,4.805677043
9.710643569,4.371942942
9.982645355,3.952476038
10.2772119,3.548535438
10.593459,3.161333647
10.93043738,2.792032924
11.28713554,2.441741794
11.66248279,2.111511722
12.05535244,1.802333956
12.46456523,1.515136552
12.88889283,1.250781586
13.32706153,1.010062569
13.77775609,0.793702066
14.23962367,0.602349522
14.71127788,0.436579319
15.19130296,0.296889047
15.67825804,0.183698013
16.17068142,0.09734598
16.66709499,0.038092151
17.16600869,0.006114388
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,0
37.5,0
38,0
38.5,0
39,0
39.5,0
40,0
40.5,0
41,0
41.5,0
42,0
42.5,0
